TWA\TWS;6;8;12;15;18;22;25;26;30;35;40
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024365999;0.121829994;0.131;0.131
20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.061045997;0.30523;0.3275;0.22924998
25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.097726;0.48862997;0.524;0.3275
30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.134406;0.67203;0.7205;0.42574996
35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.171086;0.85542995;0.91699994;0.524
40;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21772198;1.0886099;1.07027;0.76504
45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.264096;1.32048;1.22354;1.00477
50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27850598;1.3925298;1.31786;1.1292199
55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.293178;1.4658899;1.4121798;1.25367
60;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.30758798;1.5379399;1.5064999;1.37812
65;1.7462299;2.0374823;2.62;2.9474998;3.2749999;3.2749999;3.2749999;2.959552;1.69776;1.6126099;1.4488598
70;3.49377;4.0758424;5.24;5.8949995;6.5499997;6.5499997;6.5499997;5.611778;1.8588899;1.71741;1.5195999
75;5.24;6.113337;7.8599997;8.8425;9.825;9.825;9.825;8.299111;2.19556;1.9283199;1.7029998
80;6.1137695;8.005842;11.789999;12.445;13.099999;13.099999;13.099999;10.973869;2.4693499;2.1143398;1.8654399
85;6.98623;9.897482;15.719999;16.047499;16.375;16.375;16.375;13.614829;2.5741498;2.20342;1.9689299
90;7.8599997;11.789999;19.65;19.65;19.65;19.65;19.65;16.25579;2.67895;2.2925;2.07242
95;8.013269;12.081252;20.217228;22.062363;23.9075;22.5975;21.615;17.843771;2.7588599;2.40516;2.1628098
100;8.16523;12.372072;20.785769;24.475384;28.164999;25.544998;23.579998;19.431492;2.8374598;2.51782;2.2532
105;8.3185;12.663337;21.352999;25.4271;29.5012;26.53312;24.307049;20.01444;2.8440099;2.58594;2.3186998
110;8.384;12.772499;21.5495;26.193449;30.8374;27.521225;25.0341;20.597391;2.85056;2.65406;2.3841999
115;8.253;12.586911;21.25475;25.869223;30.4837;27.43178;25.14283;20.683588;2.84663;2.6907399;2.44184
120;8.122;12.401338;20.96;25.544998;30.13;27.341572;25.250248;20.769001;2.8440099;2.72611;2.49817
125;7.6634994;11.855499;20.239498;24.899824;29.56015;26.864548;24.84284;20.439928;2.8282897;2.7470698;2.5597398
130;7.205;11.309662;19.519;24.254648;28.990297;26.387514;24.435429;20.110857;2.8125699;2.7667198;2.62
135;5.5019994;9.5892;17.7636;22.6368;27.509998;25.11308;23.31538;19.21141;2.7955399;2.7981598;2.6946697
140;3.799;8.0041;16.414299;21.091;25.767698;23.92846;22.549028;18.589424;2.7509997;2.8165;2.7509997
145;2.9082;7.0303373;15.274599;19.70895;24.1433;22.727005;21.66478;17.871544;2.6985998;2.8296;2.7509997
150;1.9649999;6.098482;14.3654585;17.767529;21.1696;20.16128;19.40503;16.034924;2.5544999;2.7509997;2.62
155;1.572;5.5330076;13.455009;16.398579;19.34215;18.44311;17.768839;14.710252;2.4759;2.67109;2.51782
160;1.1789999;4.9679523;12.545869;15.030285;17.5147;16.724953;16.132648;13.385841;2.3986099;2.5911798;2.41433
165;1.048;4.577572;11.63673;13.639065;15.641398;14.895079;14.335329;11.921523;2.2663;2.4693499;2.227
170;0.91699994;4.1871924;10.72759;12.771845;14.8161;13.973953;13.34235;11.072381;1.99251;2.096;1.9794099
175;0.786;3.7963798;9.81714;12.054619;14.292099;13.269552;12.502639;10.370746;1.8431698;1.95976;1.87461
180;0.655;3.4059997;8.908;11.338049;13.7681;12.56514;11.66293;9.669372;1.69514;1.82221;1.7685
